business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Dol-Ho Restaurant	808 Pacific Ave	San Francisco	CA	94133	37.796718	-122.408714		489_20161220	2017-12-20	80.0	Routine - Unscheduled	489_20161220_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Kwik & Convenient	600 Monterey Blvd	San Francisco	CA	94127			+14155334140	72153_20160809	2017-08-09	94.0	Routine - Unscheduled	72153_20160809_103154	Unclean or degraded floors walls or ceilings	Low Risk
SOTA (SCHOOL OF THE ARTS)	555 Portola Dr	San Francisco	CA	94131	37.745674	-122.45085	+14155695700	5855_20161102	2017-11-02	88.0	Routine - Unscheduled	5855_20161102_103154	Unclean or degraded floors walls or ceilings	Low Risk
Choux	248 Fillmore St	San Francisco	CA	94117				94189_20171130	2017-11-30	96.0	Routine - Unscheduled	94189_20171130_103129	Insufficient hot water or running water	Moderate Risk
Sunrise Deli	2115 Irving St	San Francisco	CA	94122	37.763383	-122.48075		1930_20161019	2017-10-19	83.0	Routine - Unscheduled	1930_20161019_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
City View Restaurant	662 Commercial St	San Francisco	CA	94111	37.794127	-122.404074		3510_20161109	2017-11-09	68.0	Routine - Unscheduled	3510_20161109_103150	Improper or defective plumbing	Low Risk
Ming Kee Restaurant	1548 Ocean Ave	San Francisco	CA	94112			+14155338198	77484_20160329	2017-03-29	88.0	Routine - Unscheduled	77484_20160329_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Sabor De San Miguel	3263 MISSION St	San Francisco	CA	94110	37.744726	-122.420395	+14155645866	1337_20171030	2017-10-30	85.0	Routine - Unscheduled	1337_20171030_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Sunny Wheatfield Café Inc	2305 Irving St	San Francisco	CA	94122			+14155681988	86814_20171031	2017-10-31	92.0	Routine - Unscheduled	86814_20171031_103154	Unclean or degraded floors walls or ceilings	Low Risk
Joyful Kitchen	1919 Ocean Ave	San Francisco	CA	94127			+14155331919	88340_20160811	2017-08-11	84.0	Routine - Unscheduled	88340_20160811_103120	Moderate risk food holding temperature	Moderate Risk
MOULIN ROUGE	887 GEARY St	San Francisco	CA	94109	37.786084	-122.417889		302_20150408	2017-04-08	69.0	Routine - Unscheduled	302_20150408_103109	Unclean or unsanitary food contact surfaces	High Risk
The Salvation Army	1156 Valencia St	San Francisco	CA	94110	37.754397	-122.420915	+14155640260	5999_20170109	2017-01-09	94.0	Routine - Unscheduled	5999_20170109_103120	Moderate risk food holding temperature	Moderate Risk
